CEP	CLIENTES	CATEGORIA	BAIRRO_CANDIDATO	FAMILIAS
74710160	4	BAIRROS_DIFERENTES	JARDIM NOVO MUNDO	JARDIM NOVO MUNDO (3) | VILA MARIA LUIZA (1)
74711020	3	BAIRROS_DIFERENTES	VILA BANDEIRANTE	VILA BANDEIRANTE (2) | JARDIM NOVO MUNDO (1)
74713440	7	BAIRROS_DIFERENTES	JARDIM NOVO MUNDO	JARDIM NOVO MUNDO (6) | RESIDENCIAL JARDIM EMANUELE (1)
74720200	5	BAIRROS_DIFERENTES	VILA MARIA LUIZA	VILA MARIA LUIZA (4) | MARIA LUIZA (1)
74723100	2	BAIRROS_DIFERENTES	JARDIM BRASIL	JARDIM BRASIL (1) | AGUA BRANCA (1)
74730140	2	BAIRROS_DIFERENTES	CONJUNTO RIVIEIRA	CONJUNTO RIVIEIRA (1) | CONJUNTO RIVIERA (1)
74740180	2	BAIRROS_DIFERENTES	CONJUNTO ARUANA I	CONJUNTO ARUANA I (1) | CONJUNTO RESIDENCIAL ARUANA I (1)
74740440	2	BAIRROS_DIFERENTES	CONJUNTO RESIDENCIAL ARUANA III	CONJUNTO RESIDENCIAL ARUANA III (1) | RESIDENCIAL ARUANA III (1)
74805180	2	BAIRROS_DIFERENTES	JARDIM NOVO MUNDO	JARDIM NOVO MUNDO (1) | JARDIM VISTA BELA (1)
74850580	2	BAIRROS_DIFERENTES	PARQUE TREMENDAO	PARQUE TREMENDAO (1) | VALE DOS CARAIBAS (1)
75000000	6	BAIRROS_DIFERENTES	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANCA (3) | SAO CARLOS (1) | JARDIM LIBERDADE (1) | 14 BIS (1)
75712460	2	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (1) | VILA SAO JOSE (1)
