CEP	BAIRRO_CANDIDATO	CLIENTES	PERCENTUAL	STATUS	FAMILIAS
74584060	VILA CRISTINA	3	66.7	REVISAR_AMBIGUO	VILA CRISTINA (2) | MARIA DILCE (1)
74584120	VILA CRISTINA	6	83.3	REVISAR_80	VILA CRISTINA (5) | VILA MARIA DILCE (1)
74584230	VILA CRISTINA	6	66.7	REVISAR_AMBIGUO	VILA CRISTINA (4) | VILA CRISTINA CONTINUACAO (2)
74705240	JARDIM NOVO MUNDO	7	85.7	REVISAR_80	JARDIM NOVO MUNDO (6) | JD NOVO MUNDO (1)
74710110	JARDIM NOVO MUNDO	9	88.9	REVISAR_80	JARDIM NOVO MUNDO (8) | JARDIM EMANUELE (1)
74710160	JARDIM NOVO MUNDO	4	75.0	REVISAR_AMBIGUO	JARDIM NOVO MUNDO (3) | VILA MARIA LUIZA (1)
74710260	JARDIM NOVO MUNDO	115	96.5	REVISAR_80	JARDIM NOVO MUNDO (111) | JARDIM EMANUELI (1) | JD EMANUELLE NOVO MUNDO (1) | JARDIM NOVO MUNDO 3 (1) | RESID EMANUELLI JARDIM NOVO MUNDO (1)
74711020	VILA BANDEIRANTE	3	66.7	REVISAR_AMBIGUO	VILA BANDEIRANTE (2) | JARDIM NOVO MUNDO (1)
74713440	JARDIM NOVO MUNDO	7	85.7	REVISAR_80	JARDIM NOVO MUNDO (6) | RESIDENCIAL JARDIM EMANUELE (1)
74720200	VILA MARIA LUIZA	5	80.0	REVISAR_80	VILA MARIA LUIZA (4) | MARIA LUIZA (1)
74723100	JARDIM BRASIL	2	50.0	REVISAR_AMBIGUO	JARDIM BRASIL (1) | AGUA BRANCA (1)
74730140	CONJUNTO RIVIERA	2	50.0	REVISAR_AMBIGUO	CONJUNTO RIVIERA (1) | CONJUNTO RIVIEIRA (1)
74740180	CONJUNTO RESIDENCIAL ARUANA I	2	50.0	REVISAR_AMBIGUO	CONJUNTO RESIDENCIAL ARUANA I (1) | CONJUNTO ARUANA I (1)
74740440	CONJUNTO RESIDENCIAL ARUANA III	2	50.0	REVISAR_AMBIGUO	CONJUNTO RESIDENCIAL ARUANA III (1) | RESIDENCIAL ARUANA III (1)
74805100	JARDIM NOVA ESPERANCA	12	25.0	REVISAR_AMBIGUO	JARDIM NOVA ESPERANCA (3) | JARDIM NOVO MUNDO (3) | VILA MUTIRAO (2) | JARDIM CURITIBA IV (1) | ALBINO BOAVENTURA (1) | RESIDENCIAL FORTALEZA (1) | CAPUAVA (1)
74805180	JARDIM VISTA BELA	2	50.0	REVISAR_AMBIGUO	JARDIM VISTA BELA (1) | JARDIM NOVO MUNDO (1)
74850580	VALE DOS CARAIBAS	2	50.0	REVISAR_AMBIGUO	VALE DOS CARAIBAS (1) | PARQUE TREMENDAO (1)
75000000	JARDIM NOVA ESPERANCA	6	50.0	REVISAR_AMBIGUO	JARDIM NOVA ESPERANCA (3) | JARDIM LIBERDADE (1) | 14 BIS (1) | SAO CARLOS (1)
75712460	SAO JOSE	2	50.0	REVISAR_AMBIGUO	SAO JOSE (1) | VILA SAO JOSE (1)
